Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
21	10,206	2104	267000	15371	23281	0,029	1	5-Cyclooctene-1,2-dione, dihydrazone, (?,?,Z)-	50	166,122	075627-03-1	C:\Database\W10N11_Full.L	106994
							2	5-Cyclooctene-1,2-dione, dihydrazone $$ (1E,2E)-5-cyclooctene-1,2-dione dihydrazone $$ (5Z)-cyclooct-5-ene-1,2-dione hydrazone $$ (E)-[(4Z,8E)-8-diazanylidenecyclooct-4-en-1-ylidene]diazane $$ CYCLOOCT-(5Z)-ENE-1,2-DIONE DIHYDRAZONE	50	166,122	068177-01-5	C:\Database\W10N11_Full.L	107002
							3	1-Methyl-2-methylene-4-isopropenylcyclohexane $$ 1-methyl-2-methylene-4-(1-methylethenyl)cyclohexane $$ 1-methyl-2-methylidene-4-prop-1-en-2-yl-cyclohexane $$ 4-isopropenyl-1-methyl-2-methylene-cyclohexane	46	150,141	125673-03-2	C:\Database\W10N11_Full.L	73164
22	10,315	2127	685283	30738	39166	0,031	1	Butanoic acid, 3-hexenyl ester, (Z)- $$ Butyric acid, 3-hexenyl ester, (Z)- $$ cis-Butyric acid, 3-hexenyl ester $$ cis-3-Hexen-1-yl butyrate $$ cis-3-Hexenyl butyrate $$ cis-3-Hexenyl n-butyrate $$ (3Z)-3-Hexenyl butyrate $$ 3(Z)-Hexenyl butanoate	59	170,131	016491-36-4	C:\Database\W10N11_Full.L	119758
							2	Z-3-hexenyl butanoate $$ (3Z)-3-HEXENYL BUTYRATE $$ (Z)-3-HEXENYL BUTYRATE $$ (Z)-HEX-3-ENYL BUTYRATE $$ 3-HEXENYL BUTANOATE, (Z)- $$ 3-HEXENYL BUTANOATE, CIS- $$ 3-HEXENYL BUTYRATE $$ 3-HEXENYL BUTYRATE, (Z)- $$ 3-HEXENYL BUTYRATE, CIS-	59	170,131	2000119-75-6	C:\Database\W10N11_Full.L	119756
							3	1,5,7-Octatrien-3-ol, 3,7-dimethyl-, (E)-(R)-(-)- $$ 1,5,7-Octatrien-3-ol, 3,7-dimethyl-, [R-(E)]- $$ (-)-TRANS-KHOTRIENOL $$ (5E)-3,7-Dimethyl-1,5,7-octatrien-3-ol $$ (5E)-3,7-dimethyl-3-octa-1,5,7-trienol $$ (5E)-3,7-dimethylocta-1,5,7-trien-3-ol	47	152,12	020053-88-7	C:\Database\W10N11_Full.L	78199
23	10,454	2156	1283378	39924	48985	0,045	1	Benzoic acid, 2-hydroxy-, methyl ester $$ Salicylic acid, methyl ester $$ 2 -hydroxy-benzoic acid methyl ester $$ 2-(Methoxycarbonyl)phenol $$ 2-Carbomethoxyphenol $$ 5-METHOXYCARBONYL-2-NORBORNENE $$ Analgit $$ Anthrapole ND $$ Betula $$ Betula oil	60	152,047	000119-36-8	C:\Database\W10N11_Full.L	75577
24	10,592	2185	1759047	100595	110299	0,027	1	Decanal $$ 1-DECANAL $$ 1-DECANAL (MIXED ISOMERS) $$ 1-DECYL ALDEHYDE $$ 3,4-DIHYDRO-5,7-DIHYDROXY-2H-1-BENZOPYRAN-3-YL 3,4-DIHYDROXYBENZOATE $$ ALDEHYDE C10 $$ C-10 ALDEHYDE $$ CAPRALDEHYDE $$ CAPRIC ALDEHYDE $$ CAPRINALDEHYDE $$ CAPRINIC ALDEHYDE	91	156,151	000112-31-2	C:\Database\W10N11_Full.L	87253
							2	Dodecanal $$ 1-DODECANAL $$ 1-DODECYL ALDEHYDE $$ ALDEHYDE C-12 $$ ALDEHYDE C-12, LAURIC $$ C-12 ALDEHYDE, LAURIC $$ C12 ALDEHYDE $$ DODECANA $$ DODECANALDEHYDE $$ DODECYL ALDEHYDE $$ DUODECYLIC ALDEHYDE $$ LAURALDEHYDE $$ LAURIC ALDEHYDE	49	184,183	000112-54-9	C:\Database\W10N11_Full.L	155662
							3	1,2-Cyclohexanedione $$ 1,2-Dioxocyclohexane $$ Cyclohexane-1,2-dione $$ 1,2-Cyclohexadione	43	112,052	000765-87-7	C:\Database\W10N11_Full.L	18828
25	11,154	2303	321736	16445	25948	0,03	1	3-Buten-1-ol, 3-methyl-2-methylene- $$ 3-Methyl-2-methylene-3-buten-1-ol #	38	98,073	026431-13-0	C:\Database\W10N11_Full.L	9837
							2	2,6-Epoxy[2]benzothieno[5,6-b]oxirene, octahydro-, 4,4-dioxide $$ 9,11-DIOXA-4-THIATETRACYCLO[5.3.1.0(2,6).0(8,10)]UNDECANE 4,4-DIOXIDE	35	202,03	092688-91-0	C:\Database\W10N11_Full.L	202864
							3	(all-Z)-methyl 5,8,11,14-eicosa-tetraen-oic acid, methyl ester $$ 5,8,11,14-Eicosatetraenoic acid, methyl ester, (all-Z)- $$ METHYL (5E,8E,11E,14E)-5,8,11,14-ICOSATETRAENOATE $$ (5Z,8Z,11Z,14Z)-eicosa-5,8,11,14-tetraenoic acid methyl ester	22	318,256	002566-89-4	C:\Database\W10N11_Full.L	572063
26	11,611	2399	42664604	2828843	2837624	0,024	1	3,5-Dimethoxytoluene $$ Benzene, 1,3-dimethoxy-5-methyl- $$ Orcinol dimethyl ether $$ Toluene, 3,5-dimethoxy- $$ 1,3-Dimethoxy-5-methylbenzene $$ 5-Methylresorcinol dimethyl ether	98	152,084	004179-19-5	C:\Database\W10N11_Full.L	76402
							2	Toluene, 3,5-dimethoxy- $$ TOLUOL, 3,5-DIMETHOXY-	93	152,084	2000076-40-0	C:\Database\W10N11_Full.L	76400
							3	1,3-Dimethoxy-5-methylbenzene	83	152,084	2000076-40-8	C:\Database\W10N11_Full.L	76408
27	11,706	2419	1404211	55235	63869	0,036	1	(2S-cis)-2-methyl-5-(1-methylethenyl)-cyclohexanone $$ Cyclohexanone, 2-methyl-5-(1-methylethenyl)-, (2S-cis)- $$ p-Menth-8-en-2-one, (1S,4R)- $$ (+)-ISODIHYDROCARVONE $$ (1S,4R)-(+)-iso-dihydro-carvone $$ (1S,4R)-p-menth-8-en-2-one	41	152,12	006909-25-7	C:\Database\W10N11_Full.L	76841
							2	3-Octyne $$ Butylethylacetylene $$ Ethylbutylacetylene $$ 1-Ethyl-2-butylacetylene $$ C4H9C.$.CC2H5	38	110,11	015232-76-5	C:\Database\W10N11_Full.L	17871
