Compound number (#)	RT (min)	Scan number (#)	Area (Ab*s)	Baseline Heigth (Ab)	Absolute Heigth (Ab)	Peak Width 50% (min)	Hit Number	Hit Name	Quality	Mol Weight (amu)	CAS Number	Library	Entry Number Library
							2	(2R,6R)-2-(t-Butyldimethylsilyl)-6-fluorocyclohexanone $$ (2R,6R)-2-[tert-butyl(dimethyl)silyl]-6-fluorocyclohexanone	22	230,15	2000292-62-5	C:\Database\W10N11_Full.L	292625
							3	Hexadecanamide, N-(2-hydroxyethyl)- $$ FA018 $$ Hydroxyethylpalmitamide $$ Impulsin $$ Loramine P 256 $$ MONOETHANOLAMINE PALMITIC ACID AMIDE $$ N-(2-Hydroxyethyl)hexadecanamide $$ N-(2-Hydroxyethyl)palmitamide $$ Palmidrol $$ PALMIDROLUM	22	299,282	000544-31-0	C:\Database\W10N11_Full.L	514105
25	11,62	2401	3774977	225001	233533	0,025	1	3,5-Dimethoxytoluene $$ Benzene, 1,3-dimethoxy-5-methyl- $$ Orcinol dimethyl ether $$ Toluene, 3,5-dimethoxy- $$ 1,3-Dimethoxy-5-methylbenzene $$ 5-Methylresorcinol dimethyl ether	97	152,084	004179-19-5	C:\Database\W10N11_Full.L	76404
							2	Toluene, 3,5-dimethoxy- $$ TOLUOL, 3,5-DIMETHOXY-	95	152,084	2000076-40-0	C:\Database\W10N11_Full.L	76400
							3	1-(3,5-Dihydroxyphenyl)ethanone $$ 1-[3,5-bis(oxidanyl)phenyl]ethanone $$ 3',5'-Dihydroxyacetophenone $$ 3,5-Dihydroxyacetophenone $$ 3,5-OR 4,5-dihydroxy-acetophenone " (so Pouwels et al.) $$ Ethanone, 1-(3,5-dihydroxyphenyl)-	80	152,047	051863-60-6	C:\Database\W10N11_Full.L	75660
26	11,716	2421	1408991	51425	60517	0,041	1	3-ICOSYNE $$ 3-EICOSYNE $$ eicos-3-yne $$ icos-3-yne	43	278,297	061886-66-6	C:\Database\W10N11_Full.L	448937
							2	3a,7a-Epoxy-1H-inden-1-one, hexahydro-	38	152,084	037079-31-5	C:\Database\W10N11_Full.L	76226
							3	cis-Salvene $$ (4Z)-2-isopropyl-1,4-hexadiene $$ (4Z)-2-isopropylhexa-1,4-diene $$ (Z)-6-methyl-5-methylene-2-heptene $$ (Z)-6-methyl-5-methylene-hept-2-ene $$ (Z)-6-methyl-5-methylidene-hept-2-ene $$ CIS-2-METHYL-3-METHYLENE-5-HEPTENE	25	124,125	2000031-58-9	C:\Database\W10N11_Full.L	31589
27	11,778	2434	575205	22834	32283	0,034	1	(4-aminophenyl)acetonitrile	46	132,069	2000042-28-2	C:\Database\W10N11_Full.L	42282
							2	2H-1-benzopyran $$ Benzopyran $$ .delta.-3-Chromene $$ 1,2-Benzopyran $$ 1,2-Chromene $$ 2H-Chromene $$ 3-Chromene $$ DELTA-3-CHROMENE $$ BRN 0109871	46	132,058	000254-04-6	C:\Database\W10N11_Full.L	42362
